EXP_ID,Torque,RPM,Power,Frecuencia,Caudal
120_50_HZ,-0.045244745910167694,1242,5.88461944328511,50,12.357914636880798
121_50_HZ,-0.045244745910167694,1264,5.9888558585445795,50,12.242714159989944
122_50_HZ,-0.05077465996146202,1280,6.80590089128555,50,12.156205258776177
123_50_HZ,-0.05077465996146202,1300,6.91224309271189,50,12.044840102545793
124_50_HZ,-0.040808986872434616,1322,5.64957654613139,50,11.918194509227126
125_50_HZ,-0.040808986872434616,1338,5.71795266166702,50,11.82336188697495
126_50_HZ,-0.032795049250125885,1352,4.64315940210261,50,11.738499741838277
127_50_HZ,-0.032795049250125885,1382,4.74618808706051,50,11.550732400166488
128_50_HZ,-0.029749160632491112,1395,4.34587813674077,50,11.466859569317513
129_50_HZ,-0.029749160632491112,1407,4.38326203469123,50,11.38809306564053
130_50_HZ,-0.02847757562994957,1425,4.24958487077246,50,11.267521537840178
131_50_HZ,-0.02847757562994957,1442,4.30028167273957,50,11.150979993974094
132_50_HZ,-0.027176421135663986,1441,4.10095352832462,50,11.157907135123242
133_50_HZ,-0.027176421135663986,1447,4.11802897674235,50,11.116209745323642
134_50_HZ,-0.02395310252904892,1451,3.6396346173089,50,11.088232094917622
135_50_HZ,-0.02395310252904892,1452,3.6421429802429497,50,11.081215258498665
136_50_HZ,-0.01768389530479908,1452,2.68889074343863,50,11.081215258498665
137_50_HZ,-0.01768389530479908,1447,2.6796314777931802,50,11.116209745323642
138_50_HZ,-0.02102550119161606,1439,3.16836896339913,50,11.171734508840593
139_50_HZ,-0.02102550119161606,1430,3.14855289622013,50,11.233513698983113
140_50_HZ,-0.020877642557024956,1442,3.15264679226805,50,11.150979993974094
141_50_HZ,-0.020877642557024956,1443,3.15483309378834,50,11.144043883297966
142_50_HZ,-0.018571047112345695,1445,2.81017163967221,50,11.130144753364766
143_50_HZ,-0.018571047112345695,1434,2.7887793296124204,50,11.206145976411804
144_50_HZ,-0.019044194370508194,1430,2.85185381879854,50,11.233513698983113
145_50_HZ,-0.019044194370508194,1437,2.86581394238706,50,11.18552600445002
146_50_HZ,-0.01827532984316349,1440,2.75585474354472,50,11.164825306745408
147_50_HZ,-0.01827532984316349,1452,2.77882019974093,50,11.081215258498665
148_50_HZ,-0.020197492092847824,1460,3.08801154392297,50,11.024757664175684
149_50_HZ,-0.020197492092847824,1436,3.03724971032423,50,11.192408297964263
150_50_HZ,-0.02176479436457157,1432,3.26381991490071,50,11.219847776751422
151_50_HZ,-0.02176479436457157,1420,3.23646946868646,50,11.301305138522716
152_50_HZ,-0.022563230246305466,1429,3.3764639911058,50,11.240333205808488
153_50_HZ,-0.022563230246305466,1436,3.39300370274873,50,11.192408297964263
154_50_HZ,-0.027501709759235382,1438,4.141400106450121,50,11.178634741408798
155_50_HZ,-0.027501709759235382,1440,4.147160050965351,50,11.164825306745408
156_50_HZ,-0.02747213840484619,1441,4.145577614595839,50,11.157907135123242
157_50_HZ,-0.02747213840484619,1441,4.145577614595839,50,11.157907135123242
158_50_HZ,-0.025963978841900826,1430,3.8880864175545398,50,11.233513698983113
159_50_HZ,-0.025963978841900826,1429,3.8853674760038,50,11.240333205808488
160_50_HZ,-0.024810681119561195,1425,3.70239014182565,50,11.267521537840178
161_50_HZ,-0.024810681119561195,1432,3.7205773214696998,50,11.219847776751422
162_50_HZ,-0.02617098204791546,1441,3.9492316350025005,50,11.157907135123242
163_50_HZ,-0.02617098204791546,1437,3.9382691599573802,50,11.18552600445002
164_50_HZ,-0.028359290212392807,1437,4.26757076203291,50,11.18552600445002
165_50_HZ,-0.028359290212392807,1433,4.25569165065634,50,11.213001361345103
166_50_HZ,-0.02620055340230465,1442,3.9564377591352704,50,11.150979993974094
167_50_HZ,-0.02620055340230465,1442,3.9564377591352704,50,11.150979993974094
168_50_HZ,-0.03022230789065361,1437,4.54792212596209,50,11.18552600445002
169_50_HZ,-0.03022230789065361,1430,4.525768016789,50,11.233513698983113
170_50_HZ,-0.03918254375457764,1437,5.89627868581191,50,11.18552600445002
171_50_HZ,-0.03918254375457764,1447,5.93731054862201,50,11.116209745323642
172_50_HZ,-0.03465806692838669,1447,5.25171921734716,50,11.116209745323642
173_50_HZ,-0.03465806692838669,1434,5.204537220232081,50,11.206145976411804
174_50_HZ,-0.03595922514796257,1427,5.373569914543539,50,11.253945310878295
